token_idx	peer	name	family	members	fid_at_birth
250	kind	kind-cooccurs	kind-cooccurs	6	0.0613
250	kind	kind-with-cross-cont	kind-with-cross-context	15	0.0493
250	vocab	text-with-cross-cont	text-with-cross-context	19	0.0491
250	position	position-with-cross-	position-with-cross-context	17	0.0432
250	frequency	freq-with-cross-cont	freq-with-cross-context	14	0.0946
250	composer	composer-pair	composer-pair	18	0.1197
250	composer	composer-extension	composer-extension	27	0.0314
250	composer	composer-axis-affini	composer-axis-affinity	29	0.0376
250	composer	composer-tuple	composer-tuple	9	0.0772
1000	vocab	text-context-pattern	text-context-pattern	8	0.0386
1000	vocab	text-in-position	text-in-position	29	0.0325
1000	vocab	text-kind-binding	text-kind-binding	24	0.0316
1000	position	position-text-bindin	position-text-binding	68	0.0369
1000	position	position-context-pat	position-context-pattern	32	0.0901
1250	vocab	text-presence	text-presence	24	0.0320
1500	position	position-presence	position-presence	9	0.0334
4000	kind	kind-transition	kind-transition	45	0.0894
7500	kind	kind-context-pattern	kind-context-pattern	48	0.0598
