window_end_token	kind.derived	kind.predictive	kind.ratified	kind.promoted	kind.evictions	kind.inventions	kind.constraintTotal	kind.uniqueAlphabetCovered	kind.scalar	kind.gap	vocab.derived	vocab.predictive	vocab.ratified	vocab.promoted	vocab.evictions	vocab.inventions	vocab.constraintTotal	vocab.uniqueAlphabetCovered	vocab.scalar	vocab.gap	cooccur.derived	cooccur.predictive	cooccur.ratified	cooccur.promoted	cooccur.evictions	cooccur.inventions	cooccur.constraintTotal	cooccur.uniqueAlphabetCovered	cooccur.scalar	cooccur.gap	position.derived	position.predictive	position.ratified	position.promoted	position.evictions	position.inventions	position.constraintTotal	position.uniqueAlphabetCovered	position.scalar	position.gap	frequency.derived	frequency.predictive	frequency.ratified	frequency.promoted	frequency.evictions	frequency.inventions	frequency.constraintTotal	frequency.uniqueAlphabetCovered	frequency.scalar	frequency.gap	composer.derived	composer.predictive	composer.ratified	composer.promoted	composer.evictions	composer.inventions	composer.constraintTotal	composer.uniqueAlphabetCovered	composer.scalar	composer.gap
150	52	106	7	3	17	7	149	4	0.7074	0.1503	269	0	0	1	0	0	200	5	0.5755	0.1073	232	0	0	0	0	0	200	3	0.6586	0.0877	128	40	0	1	0	0	169	4	0.6250	0.1323	63	0	0	1	0	0	64	5	0.3141	0.1729	124	86	4	1	0	4	200	1	0.5630	0.1524
300	62	406	7	3	317	7	159	4	0.7070	0.1894	503	79	16	1	8	16	200	5	0.6045	0.1963	464	8	0	0	1	0	200	3	0.7873	0.1328	171	136	51	2	33	51	200	4	0.6047	0.2197	73	0	0	1	0	0	74	5	0.3936	0.2945	232	386	104	4	0	104	200	1	0.1915	0.3217
450	68	706	48	3	579	48	199	4	0.7964	0.2110	766	185	52	4	17	52	199	5	0.5341	0.2650	737	50	1	0	36	1	200	3	0.7867	0.1482	224	296	146	4	90	146	200	4	0.5480	0.2804	82	0	0	1	0	0	83	5	0.3898	0.3818	371	686	126	4	0	126	200	1	0.0944	0.4656
600	76	1006	48	3	876	48	198	4	0.6767	0.2213	985	303	73	5	32	73	200	5	0.5291	0.3235	1005	107	3	0	89	3	200	3	0.8249	0.1629	264	419	193	4	123	193	200	4	0.5174	0.3320	85	0	0	1	0	0	86	5	0.3513	0.4436	513	986	131	4	0	131	200	1	0.0633	0.5805
750	80	1306	48	3	1176	48	198	4	0.6574	0.2514	1201	347	81	5	39	81	200	5	0.4910	0.3684	1258	149	7	0	132	7	199	3	0.8244	0.1749	290	488	193	4	223	193	171	4	0.4295	0.3821	85	0	0	1	0	0	86	5	0.3285	0.4973	648	1286	133	4	0	133	200	1	0.0965	0.6681
900	90	1606	108	3	1379	108	198	4	0.6534	0.2835	1402	384	95	5	43	95	200	5	0.5000	0.4046	1483	188	11	0	161	11	200	3	0.7923	0.1967	320	525	206	4	231	206	200	4	0.5041	0.4204	86	0	0	1	0	0	87	5	0.3594	0.5335	777	1586	133	4	0	133	200	1	0.0811	0.7315
1050	103	1906	137	4	1594	137	198	4	0.6497	0.3120	1610	441	132	5	51	132	200	5	0.4917	0.4313	1762	236	16	0	211	16	199	3	0.8146	0.1953	356	582	257	4	244	257	200	4	0.5298	0.4436	89	0	0	1	0	0	90	5	0.3975	0.5615	914	1886	133	4	0	133	200	1	0.1164	0.7799
1200	114	2206	198	4	1791	198	198	4	0.6609	0.3334	1767	480	160	5	62	160	200	5	0.4730	0.4569	1954	264	18	0	235	18	197	3	0.7235	0.2153	385	626	303	4	251	303	200	4	0.5011	0.4619	89	0	0	1	0	0	90	5	0.3942	0.5778	1048	2186	133	4	0	133	200	1	0.0695	0.8151
1350	140	2506	268	5	1972	268	198	4	0.6106	0.3563	2019	620	182	5	73	182	200	5	0.5333	0.4574	2210	310	21	0	276	21	199	3	0.7710	0.2219	459	765	355	4	293	355	200	4	0.5766	0.4605	93	0	0	1	0	0	94	5	0.3730	0.5942	1198	2486	133	4	0	133	200	1	0.0722	0.8408
1500	159	2806	297	5	2186	297	198	4	0.5197	0.3767	2244	699	211	5	83	211	200	5	0.5466	0.4709	2477	364	21	0	332	21	200	3	0.7685	0.2211	510	894	460	4	325	460	200	4	0.4477	0.4801	94	0	0	1	0	0	95	5	0.3276	0.6022	1345	2786	133	4	0	133	200	1	0.0842	0.8592
1650	182	3106	297	5	2359	297	198	4	0.5248	0.3878	2426	753	220	5	121	220	190	5	0.5529	0.4673	2686	409	21	0	386	21	183	3	0.6812	0.2292	560	974	467	4	361	467	199	4	0.5858	0.4822	97	0	0	1	0	0	98	5	0.3654	0.6094	1493	3086	133	4	0	133	200	1	0.0820	0.8723
1800	196	3406	297	5	2659	297	198	4	0.5616	0.3932	2619	820	251	5	142	251	200	5	0.5076	0.4619	2926	438	24	0	404	24	200	3	0.7369	0.2378	603	1062	531	4	418	531	200	4	0.4858	0.4825	98	0	0	1	0	0	99	5	0.3573	0.6139	1648	3386	133	4	0	133	200	1	0.0596	0.8834
1950	198	3706	297	5	2959	297	198	4	0.6120	0.3959	2847	892	276	5	147	276	200	5	0.4807	0.4730	3147	462	29	0	431	29	199	3	0.7061	0.2556	639	1148	582	4	460	582	200	4	0.4529	0.4945	98	0	0	1	0	0	99	5	0.3731	0.6178	1805	3686	133	4	0	133	200	1	0.0669	0.8927
2100	201	4006	297	5	3259	297	198	4	0.6391	0.3963	3058	993	297	5	167	297	200	5	0.6045	0.4736	3390	497	37	0	455	37	200	3	0.7322	0.2567	682	1237	604	4	466	604	200	4	0.5478	0.5042	99	0	0	1	0	0	100	5	0.3846	0.6201	1947	3986	133	4	0	133	200	1	0.0604	0.8982
2250	203	4306	297	5	3559	297	198	4	0.6411	0.3881	3189	1003	313	5	170	313	200	5	0.4444	0.4868	3473	505	37	0	468	37	200	3	0.5723	0.2905	721	1254	635	4	470	635	200	4	0.4686	0.5079	101	0	0	1	0	0	102	5	0.3975	0.6191	2082	4286	133	4	0	133	200	1	0.1084	0.9026
2400	208	4606	326	5	3800	326	199	4	0.5524	0.3902	3347	1048	318	5	175	318	200	5	0.5431	0.4929	3624	526	37	0	479	37	200	3	0.7220	0.3130	759	1291	642	4	475	642	200	4	0.5372	0.5097	101	0	0	1	0	0	102	5	0.3848	0.6179	2213	4586	133	4	0	133	200	1	0.0803	0.9065
2550	209	4906	326	5	4075	326	198	4	0.6476	0.3896	3510	1087	321	5	214	321	190	5	0.5676	0.4845	3837	551	45	0	503	45	200	3	0.6722	0.3064	783	1392	647	4	555	647	199	4	0.4980	0.5077	101	0	0	1	0	0	102	5	0.4095	0.6170	2335	4886	133	4	0	133	200	1	0.0778	0.9053
2700	210	5206	326	5	4375	326	198	4	0.5908	0.3983	3647	1119	321	5	238	321	200	5	0.4572	0.4941	4023	577	45	0	524	45	200	3	0.6446	0.3100	814	1542	647	4	705	647	199	4	0.5433	0.4974	101	0	0	1	0	0	102	5	0.3793	0.6153	2476	5186	133	4	0	133	200	1	0.0807	0.9042
2850	210	5506	326	5	4675	326	198	4	0.6574	0.4020	3750	1119	321	5	238	321	200	5	0.4700	0.5185	4122	591	47	0	537	47	200	3	0.6024	0.3496	828	1566	647	4	770	647	170	4	0.3949	0.5096	101	0	0	1	0	0	102	5	0.4091	0.6157	2603	5486	133	4	0	133	200	1	0.0833	0.9031
