window_end_token	kind.derived	kind.predictive	kind.ratified	kind.promoted	kind.evictions	kind.inventions	kind.constraintTotal	kind.uniqueAlphabetCovered	kind.scalar	kind.gap	vocab.derived	vocab.predictive	vocab.ratified	vocab.promoted	vocab.evictions	vocab.inventions	vocab.constraintTotal	vocab.uniqueAlphabetCovered	vocab.scalar	vocab.gap	cooccur.derived	cooccur.predictive	cooccur.ratified	cooccur.promoted	cooccur.evictions	cooccur.inventions	cooccur.constraintTotal	cooccur.uniqueAlphabetCovered	cooccur.scalar	cooccur.gap	position.derived	position.predictive	position.ratified	position.promoted	position.evictions	position.inventions	position.constraintTotal	position.uniqueAlphabetCovered	position.scalar	position.gap	frequency.derived	frequency.predictive	frequency.ratified	frequency.promoted	frequency.evictions	frequency.inventions	frequency.constraintTotal	frequency.uniqueAlphabetCovered	frequency.scalar	frequency.gap	composer.derived	composer.predictive	composer.ratified	composer.promoted	composer.evictions	composer.inventions	composer.constraintTotal	composer.uniqueAlphabetCovered	composer.scalar	composer.gap
100	57	0	0	2	0	0	58	4	0.3592	0.1163	168	0	0	1	0	0	169	3	0.6636	0.0583	152	0	0	0	0	0	153	3	0.7330	0.0636	76	0	0	1	0	0	77	3	0.5373	0.0862	52	0	0	1	0	0	53	5	0.2752	0.1224	85	14	0	1	0	0	100	1	0.3759	0.1266
200	62	194	0	2	112	0	145	4	0.6902	0.1578	310	0	0	1	0	0	200	4	0.5632	0.1141	300	0	0	0	0	0	200	3	0.7424	0.1047	122	89	22	1	12	22	199	4	0.6576	0.1417	60	0	0	1	0	0	61	5	0.2732	0.2302	108	214	0	1	132	0	191	1	0.6224	0.1792
300	67	394	0	2	312	0	150	4	0.6951	0.1843	493	55	5	1	3	5	200	5	0.5601	0.1716	484	4	0	0	0	0	200	3	0.7915	0.1223	163	115	46	2	47	46	200	4	0.5733	0.1880	70	0	0	1	0	0	71	5	0.3339	0.3061	161	414	118	4	164	118	200	1	0.1631	0.2809
400	73	594	0	2	512	0	156	4	0.6692	0.2106	623	60	7	1	29	7	200	5	0.5031	0.2273	658	30	0	0	20	0	199	3	0.7117	0.1386	196	120	48	2	50	48	200	4	0.5340	0.2361	74	0	0	1	0	0	75	5	0.3175	0.3728	215	614	147	4	164	147	200	1	0.1118	0.3879
500	73	794	0	2	712	0	156	4	0.6843	0.2318	761	92	21	3	38	21	200	5	0.5110	0.2742	799	57	0	0	49	0	200	3	0.7131	0.1695	217	145	48	2	50	48	200	4	0.5553	0.2761	75	0	0	1	0	0	76	5	0.3237	0.4318	285	814	160	4	164	160	200	1	0.1285	0.4809
600	73	994	0	2	912	0	156	4	0.6631	0.2479	886	136	35	4	46	35	200	5	0.5168	0.3098	900	72	0	0	72	0	200	3	0.7576	0.1860	241	189	64	2	97	64	198	4	0.5160	0.3092	76	0	0	1	0	0	77	5	0.3166	0.4752	404	1014	160	4	164	160	200	1	0.1086	0.5554
700	75	1194	0	2	1112	0	158	4	0.6656	0.2608	1042	181	58	5	46	58	200	5	0.4771	0.3469	1078	92	0	0	83	0	200	3	0.7696	0.1925	273	243	111	3	97	111	200	4	0.4666	0.3430	77	0	0	1	0	0	78	5	0.3026	0.5168	490	1214	161	4	164	161	200	1	0.0786	0.6202
800	84	1394	0	2	1312	0	167	4	0.6921	0.2725	1182	240	77	5	53	77	200	5	0.5333	0.3684	1216	118	0	0	104	0	200	3	0.7133	0.2129	311	333	150	3	130	150	192	4	0.5852	0.3619	81	0	0	1	0	0	82	5	0.3613	0.5462	567	1414	164	4	164	164	200	1	0.1326	0.6731
900	89	1594	0	2	1512	0	172	4	0.6782	0.2847	1325	245	77	5	54	77	200	5	0.5044	0.3875	1396	147	1	0	135	1	200	3	0.7765	0.2171	350	338	150	3	135	150	200	4	0.5691	0.3743	87	0	0	1	0	0	88	5	0.3312	0.5679	642	1614	164	4	164	164	200	1	0.0801	0.7178
1000	90	1794	0	2	1712	0	173	4	0.6515	0.2941	1475	331	103	5	60	103	200	5	0.5544	0.4052	1571	181	1	0	165	1	200	3	0.7583	0.2215	379	443	186	3	139	186	200	4	0.5984	0.3919	89	0	0	1	0	0	90	5	0.3400	0.5840	729	1814	164	4	164	164	200	1	0.0688	0.7533
1100	90	1994	0	2	1912	0	173	4	0.6814	0.3014	1648	412	144	5	63	144	200	5	0.4753	0.4134	1744	217	1	0	201	1	200	3	0.7509	0.2220	416	518	254	3	178	254	200	4	0.4673	0.4003	90	0	0	1	0	0	91	5	0.3242	0.5975	827	2014	164	4	164	164	200	1	0.0844	0.7824
1200	91	2194	0	2	2112	0	174	4	0.6712	0.3057	1809	470	145	5	66	145	200	5	0.5866	0.4194	1930	246	10	0	224	10	200	3	0.7907	0.2229	445	558	257	3	183	257	200	4	0.5630	0.4135	90	0	0	1	0	0	91	5	0.3583	0.6064	877	2214	164	4	164	164	200	1	0.0607	0.8066
1300	91	2394	0	2	2312	0	174	4	0.6719	0.3089	1935	516	159	5	95	159	200	5	0.4761	0.4273	2051	258	11	0	246	11	200	3	0.7871	0.2211	473	701	293	3	319	293	200	4	0.5045	0.4067	90	0	0	1	0	0	91	5	0.3652	0.6146	987	2414	164	4	164	164	200	1	0.1008	0.8246
1400	91	2594	0	2	2512	0	174	4	0.6903	0.3124	2091	571	172	5	98	172	200	5	0.5239	0.4374	2203	274	11	0	260	11	196	3	0.7168	0.2205	502	721	304	3	338	304	190	4	0.4891	0.4301	90	0	0	1	0	0	91	5	0.3418	0.6233	1090	2614	164	4	164	164	200	1	0.0789	0.8420
1500	91	2794	0	2	2712	0	174	4	0.6760	0.3149	2222	578	172	5	102	172	200	5	0.5211	0.4463	2355	284	11	0	266	11	200	3	0.7571	0.2320	531	724	304	3	338	304	200	4	0.4979	0.4448	90	0	0	1	0	0	91	5	0.3462	0.6297	1175	2814	164	4	164	164	200	1	0.0666	0.8552
1600	91	2994	0	2	2912	0	174	4	0.6372	0.3156	2382	646	186	5	105	186	200	5	0.5895	0.4523	2526	309	12	0	286	12	200	3	0.7727	0.2349	559	805	323	3	345	323	200	4	0.5863	0.4633	90	0	0	1	0	0	91	5	0.3349	0.6343	1233	3014	164	4	164	164	200	1	0.0797	0.8668
1700	94	3194	0	2	3112	0	177	4	0.6502	0.3217	2507	748	199	5	112	199	200	5	0.5401	0.4562	2655	327	12	0	313	12	200	3	0.6673	0.2420	585	951	342	3	378	342	198	4	0.6383	0.4626	90	0	0	1	0	0	91	5	0.3340	0.6398	1305	3214	164	4	164	164	200	1	0.0650	0.8765
1800	94	3394	0	2	3312	0	177	4	0.6655	0.3250	2670	751	199	5	117	199	200	5	0.5749	0.4498	2809	342	12	0	325	12	200	3	0.7087	0.2530	628	973	389	3	409	389	200	4	0.5145	0.4640	90	0	0	1	0	0	91	5	0.3352	0.6453	1398	3414	164	4	164	164	200	1	0.0594	0.8851
1900	95	3594	0	2	3512	0	178	4	0.6307	0.3290	2811	751	199	5	117	199	200	5	0.5427	0.4481	2935	354	13	0	335	13	200	3	0.7002	0.2658	652	973	389	3	409	389	200	4	0.4328	0.4760	92	0	0	1	0	0	93	5	0.3210	0.6486	1496	3614	164	4	164	164	200	1	0.0630	0.8923
2000	95	3794	0	2	3712	0	178	4	0.6457	0.3331	2948	819	212	5	122	212	200	5	0.5898	0.4509	3091	377	16	0	352	16	199	3	0.7357	0.2623	675	1041	410	3	410	410	200	4	0.5909	0.4837	92	0	0	1	0	0	93	5	0.3636	0.6510	1580	3814	164	4	164	164	200	1	0.1558	0.8965
2100	95	3994	0	2	3912	0	178	4	0.6412	0.3367	3138	880	229	5	123	229	200	5	0.5881	0.4475	3277	411	17	0	379	17	200	3	0.7652	0.2623	714	1164	462	3	438	462	200	4	0.5501	0.4802	93	0	0	1	0	0	94	5	0.3293	0.6524	1683	4014	164	4	164	164	200	1	0.0570	0.8981
2200	95	4194	0	2	4112	0	178	4	0.6571	0.3380	3272	929	249	5	145	249	199	5	0.5245	0.4541	3434	435	17	0	408	17	199	3	0.7064	0.2588	738	1225	500	3	488	500	199	4	0.5579	0.4775	93	0	0	1	0	0	94	5	0.3438	0.6523	1739	4214	164	4	164	164	200	1	0.0991	0.9021
2300	95	4394	0	2	4312	0	178	4	0.6537	0.3397	3405	1013	254	5	156	254	200	5	0.6083	0.4577	3617	472	21	0	437	21	200	3	0.8095	0.2514	765	1319	507	3	510	507	199	4	0.6124	0.4761	93	0	0	1	0	0	94	5	0.3156	0.6530	1822	4414	164	4	164	164	200	1	0.0621	0.9051
2400	95	4594	0	2	4512	0	178	4	0.6584	0.3421	3560	1064	290	5	166	290	200	5	0.5202	0.4576	3738	485	22	0	457	22	200	3	0.7020	0.2592	798	1376	571	3	560	571	199	4	0.4853	0.4753	93	0	0	1	0	0	94	5	0.3449	0.6558	1906	4614	164	4	164	164	200	1	0.0665	0.9088
2500	95	4794	0	2	4712	0	178	4	0.6561	0.3412	3697	1088	296	5	169	296	200	5	0.5510	0.4579	3888	507	23	0	474	23	199	3	0.7333	0.2600	824	1400	577	3	565	577	200	4	0.5469	0.4749	93	0	0	1	0	0	94	5	0.3393	0.6553	1981	4814	164	4	164	164	200	1	0.0640	0.9097
2600	95	4994	0	2	4912	0	178	4	0.6477	0.3431	3855	1155	316	5	178	316	200	5	0.6048	0.4593	4056	538	28	0	501	28	199	3	0.7442	0.2594	860	1467	620	3	583	620	200	4	0.5569	0.4750	93	0	0	1	0	0	94	5	0.3353	0.6577	2073	5014	164	4	164	164	200	1	0.1346	0.9112
2700	95	5194	0	2	5112	0	178	4	0.6314	0.3454	4022	1189	342	5	181	342	200	5	0.5961	0.4565	4243	573	41	0	517	41	200	3	0.7898	0.2506	900	1488	647	3	590	647	200	4	0.5198	0.4772	93	0	0	1	0	0	94	5	0.3141	0.6589	2158	5214	164	4	164	164	200	1	0.0959	0.9128
2800	95	5394	0	2	5312	0	178	4	0.6795	0.3455	4166	1257	353	5	195	353	198	5	0.5647	0.4525	4360	590	42	0	541	42	198	3	0.7005	0.2537	932	1602	688	3	622	688	193	4	0.5780	0.4697	93	0	0	1	0	0	94	5	0.3688	0.6600	2249	5414	164	4	164	164	200	1	0.0744	0.9147
2831	95	5456	0	2	5374	0	178	4	0.6797	0.3455	4192	1257	353	5	206	353	200	5	0.5346	0.4532	4419	599	42	0	546	42	199	3	0.7675	0.2548	936	1602	688	3	647	688	172	4	0.5436	0.4690	93	0	0	1	0	0	94	5	0.4045	0.6587	2270	5476	164	4	164	164	200	1	0.2257	0.9135
