token_count	kind.derived	kind.predictive	kind.ratified	kind.promoted	kind.evictions	kind.inventions	kind.constraintTotal	kind.uniqueAlphabetCovered	kind.scalar	kind.gap	vocab.derived	vocab.predictive	vocab.ratified	vocab.promoted	vocab.evictions	vocab.inventions	vocab.constraintTotal	vocab.uniqueAlphabetCovered	vocab.scalar	vocab.gap	cooccur.derived	cooccur.predictive	cooccur.ratified	cooccur.promoted	cooccur.evictions	cooccur.inventions	cooccur.constraintTotal	cooccur.uniqueAlphabetCovered	cooccur.scalar	cooccur.gap	position.derived	position.predictive	position.ratified	position.promoted	position.evictions	position.inventions	position.constraintTotal	position.uniqueAlphabetCovered	position.scalar	position.gap	frequency.derived	frequency.predictive	frequency.ratified	frequency.promoted	frequency.evictions	frequency.inventions	frequency.constraintTotal	frequency.uniqueAlphabetCovered	frequency.scalar	frequency.gap	composer.derived	composer.predictive	composer.ratified	composer.promoted	composer.evictions	composer.inventions	composer.constraintTotal	composer.uniqueAlphabetCovered	composer.scalar	composer.gap	lattice.matched	lattice.unresolved	lattice.scalar
5086	209	9986	16	2	9850	16	198	4	0.6644	0.3519	6724	1545	474	5	317	474	200	5	0.4488	0.5431	6704	983	68	0	905	68	200	3	0.7622	0.3052	1499	1787	802	4	689	802	196	4	0.5458	0.5052	124	49	49	2	0	49	200	5	0.4216	0.5978	9568	9974	376	4	23	376	200	1	0.2103	0.8576	9530	2970	0.2376

# promotion_timeline
# peer	name	family	members	fid_at_birth
kind	kind-cooccurs	kind-cooccurs	m=3	fid=0.0609
kind	kind-with-cross-cont	kind-with-cross-context	m=14	fid=0.1093
vocab	text-with-cross-cont	text-with-cross-context	m=31	fid=0.0538
vocab	text-context-pattern	text-context-pattern	m=12	fid=0.0451
vocab	text-kind-binding	text-kind-binding	m=24	fid=0.0303
vocab	text-in-position	text-in-position	m=35	fid=0.0305
vocab	text-presence	text-presence	m=23	fid=0.0313
position	position-with-cross-	position-with-cross-context	m=18	fid=0.0539
position	position-text-bindin	position-text-binding	m=71	fid=0.0348
position	position-context-pat	position-context-pattern	m=20	fid=0.0302
position	position-presence	position-presence	m=12	fid=0.0311
frequency	freq-with-cross-cont	freq-with-cross-context	m=15	fid=0.0862
frequency	recurrence-bucket	recurrence-bucket	m=23	fid=0.0486
composer	composer-pair	composer-pair	m=21	fid=0.1804
composer	composer-tuple	composer-tuple	m=15	fid=0.0804
composer	composer-extension	composer-extension	m=54	fid=0.1507
composer	composer-axis-affini	composer-axis-affinity	m=33	fid=0.1823
